Index,ID,Query,SmilesRan,Error,Exp_Value:_-Log10(mol/L),Pred_Value:_-Log10(mol/L),Exp_Value:_mg/L,Pred_Value:_mg/L,
90,C_UGQMRVRMYYASKQ-UHFFFAOYSA-N,O(C(C1(OC(N2C=3N(C(=NC(=O)C3N=C2[H])[H])[H])(C(O[H])(C1(O[H])[H])[H])[H])[H])([H])[H])[H],[H]OC([H])([H])C1([H])OC([H])(N2C([H])=NC=3C(=O)N=C([H])N([H])C32)C([H])(O[H])C1([H])O[H],,N/A,N/A,N/A,N/A,bmse000098
91,608-66-2,O(C(C(O[H])(C(O[H])(C(O[H])(C(O[H])(C(O[H])([H])[H])[H])[H])[H])[H])([H])[H])[H],OCC(O)C(O)C(O)C(O)CO,,N/A,1.12,N/A,13974.41,bmse000099
92,149-32-6,O(C(C(C(C(O[H])([H])[H])(O[H])[H])(O[H])[H])([H])[H])[H],OCC(O)C(O)CO,,N/A,0.96,N/A,13493.12,bmse000100
93,759-05-7,O=C(O[H])C(C(C([H])([H])[H])(C([H])([H])[H])[H])=O,O=C(O)C(=O)C(C)C,,N/A,2.58,N/A,304.96,bmse000101
94,6917-35-7,C1(C(C(C(C(C1(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H],OC1C(O)C(O)C(O)C(O)C1O,,N/A,1.21,N/A,11010.92,bmse000102
95,6917-35-7,C1(C(C(C(C(C1(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H],OC1C(O)C(O)C(O)C(O)C1O,,N/A,1.21,N/A,11010.92,bmse000103
96,59-67-6,C1(=C(C(=C(N=C1[H])[H])C(O[H])=O)[H])[H],O=C(O)C=1C=NC=CC1,,N/A,2.57,N/A,332.96,bmse000104
97,22083-74-5,C(N1C(C(C(C1(C=2C(=C(C(=NC2[H])[H])[H])[H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],N=1C=CC=C(C1)C2N(C)CCC2,,N/A,2.97,N/A,172.79,bmse000105
98,144-62-7,C(O[H])(=O)C(=O)O[H],O=C(O)C(=O)O,,N/A,2.11,N/A,702.23,bmse000106
99,138-08-9,C(=O)(O[H])C(=C([H])[H])OP(=O)(O[H])O[H],,Structure can't be parsed,,,,,bmse000107
100,126-49-8,C1(C(=C(C(C(=C1[H])[H])(O[H])[H])[H])[H])(C(=O)O[H])C(C(C(=O)O[H])=O)([H])[H],O=C(O)C(=O)CC1(C=CC(O)C=C1)C(=O)O,,N/A,3.11,N/A,175.86,bmse000108
101,110-60-1,N(C(C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],NCCCCN,,N/A,2.37,N/A,372.01,bmse000109
102,66-72-8,C(C=1C(=C(C(=O)[H])C(=C(N1)[H])C(O[H])([H])[H])O[H])([H])([H])[H],O=CC1=C(O)C(=NC=C1CO)C,,N/A,3.18,N/A,110.46,bmse000110
103,54-47-7,C(C=1C(=C(C(=O)[H])C(=C(N1)[H])C(OP(O[H])(O[H])=O)([H])[H])O[H])([H])([H])[H],O=CC1=C(O)C(=NC=C1COP(=O)(O)O)C,,N/A,5.47,N/A,0.84,bmse000111
104,127-17-3,O(C(=O)C(=O)C([H])([H])[H])[H],O=C(O)C(=O)C,,N/A,1.91,N/A,1082.07,bmse000112
105,6917-35-7,C1(C(C(C(C(C1(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H],OC1C(O)C(O)C(O)C(O)C1O,,N/A,1.21,N/A,11010.92,bmse000113
106,NOCAS_859270,C=1(C(O[H])(C(O[H])(C(C(C1C(=O)O[H])([H])[H])(O[H])[H])[H])[H])[H],,Structure can't be parsed,,,,,bmse000114
107,608-66-2,C(C(C(C(C(C(O[H])([H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(O[H])([H])[H],OCC(O)C(O)C(O)C(O)CO,,N/A,1.12,N/A,13974.41,bmse000115
108,124-20-9,N(C(C(C(C(N(C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],NCCCNCCCCN,,N/A,3.2,N/A,90.93,bmse000116
109,71-44-3,N(C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])(C(C(C(C(N(C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H],NCCCNCCCCNCCCN,,N/A,3.26,N/A,110.24,bmse000117
110,110-15-6,C(=O)(C(C(C(=O)O[H])([H])[H])([H])[H])O[H],O=C(O)CCC(=O)O,,N/A,2.66,N/A,260.89,bmse000118
