Index,ID,Query,SmilesRan,Error,Exp_Value:_-Log10(mol/L),Pred_Value:_-Log10(mol/L),Exp_Value:_mg/L,Pred_Value:_mg/L,
111,C_CZMRCDWAGMRECN-UHFFFAOYSA-N,C1(C(C(C(C(C(O[H])([H])[H])(O1)[H])(O[H])[H])(O[H])[H])(O[H])[H])(OC2(C(C(C(C(O[H])([H])[H])(O2)[H])(O[H])[H])(O[H])[H])C(O[H])([H])[H])[H],[H]OC([H])([H])C1([H])OC([H])(OC2(OC([H])(C([H])([H])O[H])C([H])(O[H])C2([H])O[H])C([H])([H])O[H])C([H])(O[H])C([H])(O[H])C1([H])O[H],,N/A,2.02,N/A,3297.45,bmse000119
112,107-35-7,S(C(C(N([H])[H])([H])[H])([H])[H])(=O)(=O)O[H],O=S(=O)(O)CCN,,N/A,2,N/A,1262.22,bmse000120
113,149-32-6,O(C(C(C(C(O[H])([H])[H])(O[H])[H])(O[H])[H])([H])[H])[H],OCC(O)C(O)CO,,N/A,0.96,N/A,13493.12,bmse000121
114,6912-67-0,C1(C(C(C(N1[H])([H])[H])(O[H])[H])([H])[H])(C(O[H])=O)[H],,Structure can't be parsed,,,,,bmse000123
115,621-82-9,C1(=C(C(=C(C(=C1[H])[H])C(=C(C(O[H])=O)[H])[H])[H])[H])[H],O=C(O)C=CC=1C=CC=CC1,,N/A,4.47,N/A,5,bmse000124
116,NOCAS_859175,C1(C(C(C(C(C(O[H])([H])[H])(O1)[H])(O[H])[H])(O[H])[H])(O[H])[H])(OC2(C(C(C(C(C(O[H])([H])[H])(O2)[H])(O[H])[H])(O[H])[H])(O[H])[H])[H])[H],,Structure can't be parsed,,,,,bmse000125
117,69-93-2,O=C1N(C(=O)N(C=2N(C(=O)N(C21)[H])[H])[H])[H],O=C1NC(=O)C=2NC(=O)NC2N1,,N/A,1.91,N/A,2048.9,bmse000126
118,69-89-6,C=1(N(C2=C(N(C(N(C2=O)[H])=O)[H])N1)[H])[H],O=C1NC(=O)C=2NC=NC2N1,,N/A,2.28,N/A,796.41,bmse000127
119,C_UBORTCNDUKBEOP-UHFFFAOYSA-N,O1C(N2C=3N(C(=O)N(C(=O)C3N=C2[H])[H])[H])(C(O[H])(C(O[H])(C1(C(O[H])([H])[H])[H])[H])[H])[H],[H]OC([H])([H])C1([H])OC([H])(N2C([H])=NC=3C(=O)N([H])C(=O)N([H])C32)C([H])(O[H])C1([H])O[H],,N/A,2.5,N/A,908.2,bmse000128
120,87-99-0,C(C(C(C(C(O[H])([H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(O[H])([H])[H],OCC(O)C(O)C(O)CO,,N/A,0.94,N/A,17385.35,bmse000129
121,85-87-0,[H]C1=C(C(=C(C(C([H])([H])[H])=N1)O[H])C([H])([H])N([H])[H])C([H])([H])O[H],OC=1C(=NC=C(C1CN)CO)C,,N/A,2.72,N/A,321.27,bmse000130
122,529-96-4,C(C=1C(=C(C(N([H])[H])([H])[H])C(=C(N1)[H])C(OP(O[H])(O[H])=O)([H])[H])O[H])([H])([H])[H],O=P(O)(O)OCC1=CN=C(C(O)=C1CN)C,,N/A,4.73,N/A,4.63,bmse000131
123,306-08-1,C(OC=1C(=C(C(=C(C1O[H])[H])[H])C(C(O[H])=O)([H])[H])[H])([H])([H])[H],O=C(O)CC1=CC=C(O)C(OC)=C1,,N/A,3.49,N/A,58.42,bmse000132
124,55-22-1,C1(=C(N=C(C(=C1C(O[H])=O)[H])[H])[H])[H],O=C(O)C=1C=CN=CC1,,N/A,2.6,N/A,309.62,bmse000133
125,58-54-8,C(C(C(=C([H])[H])C(C=1C(=C(C(=C(C1Cl)Cl)OC(C(O[H])=O)([H])[H])[H])[H])=O)([H])[H])([H])([H])[H],O=C(O)COC1=CC=C(C(=O)C(=C)CC)C(Cl)=C1Cl,,N/A,5.83,N/A,0.44,bmse000134
126,108-80-5,C1(=NC(=NC(=N1)O[H])O[H])O[H],OC=1N=C(O)N=C(O)N1,,N/A,2.62,N/A,307.16,bmse000135
127,97-65-4,C(C(=O)O[H])(C(C(=O)O[H])([H])[H])=C([H])[H],O=C(O)C(=C)CC(=O)O,,N/A,3.12,N/A,99.72,bmse000137
128,5965-66-2,C1(C(OC(C(C1(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])(OC2(OC(C(C(C2(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])[H])[H],OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,,N/A,2.25,N/A,1940.75,bmse000138
129,NOCAS_872004,C1(=C(C(=C(C(=C1[H])[H])C(C#N)(OC2(C(C(C(C(C(OC3(C(C(C(C(C(O[H])([H])[H])(O3)[H])(O[H])[H])(O[H])[H])(O[H])[H])[H])([H])[H])(O2)[H])(O[H])[H])(O[H])[H])(O[H])[H])[H])[H])[H])[H])[H],N#CC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)C=3C=CC=CC3,,N/A,5.3,N/A,2.31,bmse000139
130,C_AEMOLEFTQBMNLQ-UHFFFAOYSA-N,C1(C(C(OC(C1(O[H])[H])(C(O[H])=O)[H])(O[H])[H])(O[H])[H])(O[H])[H],[H]OC(=O)C1([H])OC([H])(O[H])C([H])(O[H])C([H])(O[H])C1([H])O[H],,N/A,1.63,N/A,4564.91,bmse000140
131,10366-82-2,C1(C(C(C(O1)=O)(O[H])[H])(O[H])[H])(C(C(O[H])([H])[H])(O[H])[H])[H],,Structure can't be parsed,,,,,bmse000141
132,14992-62-2,C(C(C(C([O-])=O)([H])[H])(OC(C([H])([H])[H])=O)[H])([N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H],O=C(OC(CC(=O)[O-])C[N+](C)(C)C)C,,N/A,N/A,N/A,N/A,bmse000142
133,51867-83-5,C(C(N(C=1C(=C(C(=C(C1[H])N([H])[H])Cl)[H])[H])[H])=O)([H])([H])[H],O=C(NC1=CC=C(Cl)C(N)=C1)C,,N/A,3.45,N/A,65.49,bmse000143
134,26776-70-5,C(O[H])(C(=O)C(O[H])([H])[H])([H])[H],O=C(CO)CO,,N/A,1.28,N/A,4756.67,bmse000144
135,12607-92-0,C(C(=O)N(C(C(C(C(=O)N([H])[H])([H])[H])([H])[H])(C(=O)O[H])[H])[H])([H])([H])[H],O=C(O)C(N=C([O-])C)CCC(=N)O,,N/A,N/A,N/A,N/A,bmse000145
136,26239-55-4,N(C(C(=O)O[H])([H])[H])(C(C(=O)O[H])([H])[H])C(C(=O)N([H])[H])([H])[H],O=C(O)CN(CC(=O)O)CC(=O)N,,N/A,2.18,N/A,1267.62,bmse000146
137,83-07-8,[H]C1=C([H])C([H])=C(C([H])=C1[H])N2C(C(=C(C([H])([H])[H])N2C([H])([H])[H])N([H])[H])=O,O=C1C(N)=C(N(N1C=2C=CC=CC2)C)C,,N/A,2.94,N/A,234.85,bmse000147
138,108-56-5,C(C(OC(=O)C(C(=O)C(=O)OC(C([H])([H])[H])([H])[H])([H])[H])([H])[H])([H])([H])[H],O=C(OCC)C(=O)CC(=O)OCC,,N/A,3.16,N/A,130.67,bmse000148
139,7400-08-0,C1(=C(C(=C(C(=C1C(=C(C(O[H])=O)[H])[H])[H])[H])O[H])[H])[H],O=C(O)C=CC1=CC=C(O)C=C1,,N/A,4.41,N/A,6.42,bmse000150
140,NOCAS_861599,C1(C(C(C(C(C(O[H])([H])[H])(O1)[H])(O[H])[H])(O[H])[H])(O[H])[H])(OP(=O)(O[H])O[H])[H],,Structure can't be parsed,,,,,bmse000151
141,NOCAS_859465,[H]C1=C([H])C(=C([H])[N+](=C1[H])C([H])([H])[H])C(O[H])=O,,Structure can't be parsed,,,,,bmse000152
142,2766-50-9,[I-].C([S+](C([H])([H])[H])C(C(C(N([H])[H])(C(O[H])=O)[H])([H])[H])([H])[H])([H])([H])[H],I.O=C([O-])C(N)CC[S+](C)C,Multiple molecules,,,,,bmse000153
143,3/1/2038,O1C(C(N(C(C1([H])[H])([H])[H])C(C(N([H])[H])([H])[H])([H])[H])([H])[H])([H])[H],O1CCN(CC1)CCN,,N/A,1.42,N/A,4905.36,bmse000154
144,60-27-5,C(N1C(C(N=C1N([H])[H])=O)([H])[H])([H])([H])[H],O=C1NC(=N)N(C)C1,,N/A,N/A,N/A,N/A,bmse000155
145,5927-18-4,C(OC(=O)C(P(=O)(OC([H])([H])[H])OC([H])([H])[H])([H])[H])([H])([H])[H],O=C(OC)CP(=O)(OC)OC,,N/A,2.94,N/A,210.65,bmse000156
146,C_KTHDTJVBEPMMGL-UHFFFAOYSA-N,C(C(C(=O)O[H])(N(C(=O)C([H])([H])[H])[H])[H])([H])([H])[H],[H]OC(=O)C([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])[H],,N/A,2.24,N/A,756.15,bmse000157
147,NOCAS_861595,[H]C1=C([H])N(C(N([H])C1=O)=O)C2([H])C([H])(C([H])(C([H])(C([H])([H])O[H])O2)O[H])O[H],,Structure can't be parsed,,,,,bmse000158
148,107-95-9,C(C(C(N([H])[H])([H])[H])([H])[H])(=O)O[H],O=C(O)CCN,,N/A,2.06,N/A,774.48,bmse000159
149,107-97-1,C(=O)(O[H])C(N(C([H])([H])[H])[H])([H])[H],O=C(O)CNC,,N/A,2.01,N/A,866.52,bmse000160
150,NOCAS_40976,C(C(C(O[H])=O)([H])[H])(C([H])([H])[H])(O[H])[H],O=C([O-])CC(O)C,,N/A,N/A,N/A,N/A,bmse000161
151,616-07-9,N(C(C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])(C(=O)O[H])[H])([H])[H],,Structure can't be parsed,,,,,bmse000162
152,C_FZLJPEPAYPUMMR-UHFFFAOYSA-N,C1(C(OC(C(C1(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])(OP(O[H])(O[H])=O)[H])(N(C(C([H])([H])[H])=O)[H])[H],[H]OC([H])([H])C1([H])OC([H])(OP(=O)(O[H])O[H])C([H])(N([H])C(=O)C([H])([H])[H])C([H])(O[H])C1([H])O[H],,N/A,3,N/A,299.66,bmse000163
153,NOCAS_862017,C(C(C(O[H])=O)(O[H])[H])(C(C(O[H])([H])[H])(O[H])[H])(O[H])[H],,Structure can't be parsed,,,,,bmse000166
154,133-37-9,C(C(C(O[H])=O)(O[H])[H])(C(O[H])=O)(O[H])[H],O=C(O)C(O)C(O)C(=O)O,,N/A,2.14,N/A,1086.97,bmse000167
155,51-84-3,O(C(C([N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])([H])[H])C(=O)C([H])([H])[H],O=C(OCC[N+](C)(C)C)C,,N/A,N/A,N/A,N/A,bmse000168
156,1464-42-2,N(C(C(=O)O[H])(C(C([Se]C([H])([H])[H])([H])[H])([H])[H])[H])([H])[H],O=C(O)C(N)CC[Se]C,Molecule contains unsupported element,,,,,bmse000169
157,NOCAS_860386,N(C(C(=O)O[H])(C(C(C(=O)N(C(C(=O)N(C(C(=O)O[H])([H])[H])[H])(C(SSC(C(C(N(C(C(=O)O[H])([H])[H])[H])=O)(N(C(C(C(C(C(=O)O[H])(N([H])[H])[H])([H])[H])([H])[H])=O)[H])[H])([H])[H])([H])[H])[H])[H])([H])[H])([H])[H])[H])([H])[H],,Structure can't be parsed,,,,,bmse000170
158,18108-22-0,[H]C1=C([H])C([H])=C(C([H])=C1[H])C([H])(N([H])[H])P(=O)(O[H])O[H],O=P(O)(O)C(N)C=1C=CC=CC1,,N/A,4.28,N/A,9.88,bmse000171
159,343-65-7,C1(=C(C(=C(C(=C1[H])C(C(C(C(O[H])=O)(N([H])[H])[H])([H])[H])=O)N([H])[H])[H])[H])[H],O=C(O)C(N)CC(=O)C=1C=CC=CC1N,,N/A,3.86,N/A,28.52,bmse000172
160,501-94-0,C1(=C(C(=C(C(=C1C(C(O[H])([H])[H])([H])[H])[H])[H])O[H])[H])[H],OC1=CC=C(C=C1)CCO,,N/A,3.92,N/A,16.77,bmse000173
161,4368-83-6,C(C(N(C=1C(=C(C(=C(C1[H])C(O[H])=O)[N+]([O-])=O)[H])[H])[H])=O)([H])([H])[H],O=C(O)C1=CC(=CC=C1[N+](=O)[O-])NC(=O)C,,N/A,3.83,N/A,32.81,bmse000174
162,NOCAS_859884,C=1(N(C2=C(C(N1)=O)N=C(N2C3(C(C(C(C(OP(O[H])(O[H])=O)([H])[H])(O3)[H])(O[H])[H])(O[H])[H])[H])[H])[H])[H],,Structure can't be parsed,,,,,bmse000175
163,14068-53-2,C(C(C1=NN=C(N([H])[H])S1)([H])[H])([H])([H])[H],N=C1SC(=NN1)CC,,N/A,N/A,N/A,N/A,bmse000176
164,87-51-4,[H]N1C(=C(C(C(O[H])=O)([H])[H])C2=C(C(=C(C(=C21)[H])[H])[H])[H])[H],O=C(O)CC1=CNC=2C=CC=CC21,,N/A,4.15,N/A,12.42,bmse000177
165,86-55-5,[H]OC(C1=C(C(=C(C2=C(C(=C(C(=C21)[H])[H])[H])[H])[H])[H])[H])=O,O=C(O)C1=CC=CC=2C=CC=CC21,,N/A,4.01,N/A,16.96,bmse000178
166,79-09-4,C(C(C([H])([H])[H])([H])[H])(=O)O[H],O=C(O)CC,,N/A,2.56,N/A,206.36,bmse000179
167,71-30-7,O=C1N(C(N([H])[H])=C(C(=N1)[H])[H])[H],O=C1N=CC=C(N)N1,,N/A,3.49,N/A,35.78,bmse000180
168,C_TYQCGQRIZGCHNB-UHFFFAOYSA-N,C1(=C(C(C(C(C(O[H])([H])[H])(O[H])[H])(O1)[H])=O)O[H])O[H],[H]OC=1OC([H])(C(=O)C1O[H])C([H])(O[H])C([H])([H])O[H],,N/A,1.59,N/A,4497.54,bmse000182
169,110-15-6,C(=O)(C(C(C(=O)O[H])([H])[H])([H])[H])O[H],O=C(O)CCC(=O)O,,N/A,2.66,N/A,260.89,bmse000183
170,56-81-5,C(O[H])(C(O[H])([H])[H])(C(O[H])([H])[H])[H],OCC(O)CO,,N/A,0.92,N/A,10970.21,bmse000184
171,NOCAS_859082,N(C(C(=O)O[H])(C(C(C(=O)N(C(C(=O)N(C(C(=O)O[H])([H])[H])[H])(C(S[H])([H])[H])[H])[H])([H])[H])([H])[H])[H])([H])[H],,Structure can't be parsed,,,,,bmse000185
172,66-22-8,O=C1N(C(=O)C(=C(N1[H])[H])[H])[H],O=C1C=CNC(=O)N1,,N/A,1.93,N/A,1308.92,bmse000187
173,NOCAS_862122,C(C(N(C1(C(C(C(C(O[H])([H])[H])(OC1(OP(O[H])(=O)OP(O[H])(=O)OC(C2(C(C(C(N3C(=C(C(N(C3=O)[H])=O)[H])[H])(O2)[H])(O[H])[H])(O[H])[H])[H])([H])[H])[H])[H])(O[H])[H])(O[H])[H])[H])[H])=O)([H])([H])[H],O=C1C=CN(C(=O)N1)C2OC(COP(=O)(O)OP(=O)(O)OC3OC(CO)C(O)C(O)C3NC(=O)C)C(O)C2O,,N/A,N/A,N/A,N/A,bmse000188
174,C_XHMJOUIAFHJHBW-UHFFFAOYSA-N,C1(C(C(C(C(C(OP(=O)(O[H])O[H])([H])[H])(O1)[H])(O[H])[H])(O[H])[H])(N([H])[H])[H])(O[H])[H],[H]OC1([H])OC([H])(C([H])([H])OP(=O)(O[H])O[H])C([H])(O[H])C([H])(O[H])C1([H])N([H])[H],,N/A,2.88,N/A,344.26,bmse000189
175,NOCAS_859078,C1(=C(N(C(N=C1N([H])[H])=O)C2(C(C(C(C(O[H])([H])[H])(O2)[H])(O[H])[H])(O[H])[H])[H])[H])[H],,Structure can't be parsed,,,,,bmse000190
176,64-19-7,C(=O)(O[H])C([H])([H])[H],O=C(O)C,,2.86,1.9,83.48,762.37,bmse000191
177,57-03-4,P(OC(C(O[H])(C(O[H])([H])[H])[H])([H])[H])(=O)(O[H])O[H],O=P(O)(O)OCC(O)CO,,N/A,3.61,N/A,42.69,bmse000193
178,C_RVEWUBJVAHOGKA-UHFFFAOYSA-N,C(C(C(C(=O)O[H])(N([H])[H])[H])([H])[H])(C(N=C(N([H])[H])N([H])[H])([H])[H])([H])[H].C(C(C(=O)O[H])(N([H])[H])[H])(C(C(=O)O[H])([H])[H])([H])[H],[H]OC(=O)C([H])([H])C([H])([H])C([H])(N([H])[H])C(=O)O[H].[H]OC(=O)C([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])N=C(N([H])[H])N([H])[H],Multiple molecules,,,,,bmse000194
179,C_JRLGPAXAGHMNOL-UHFFFAOYSA-N,C(N(C(C([H])([H])[H])=O)[H])(C(O[H])=O)(C(C(C(N([H])[H])([H])[H])([H])[H])([H])[H])[H],[H]OC(=O)C([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])[H],,N/A,2.56,N/A,474.93,bmse000195
180,C_ZEVOCXOZYFLVKN-UHFFFAOYSA-N,C1(C(C(C(OC1(OC([H])([H])[H])[H])(C(O[H])([H])[H])[H])(O[H])[H])(O[H])[H])(N(C(=O)C([H])([H])[H])[H])[H],[H]OC([H])([H])C1([H])OC([H])(OC([H])([H])[H])C([H])(N([H])C(=O)C([H])([H])[H])C([H])(O[H])C1([H])O[H],,N/A,1.23,N/A,14006.01,bmse000196
181,C_BIRSGZKFKXLSJQ-UHFFFAOYSA-N,C(C(C(C(C(C(OP(=O)(O[H])O[H])([H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(O[H])=O,[H]OC(=O)C([H])(O[H])C([H])(O[H])C([H])(O[H])C([H])(O[H])C([H])([H])OP(=O)(O[H])O[H],,N/A,3.42,N/A,104.08,bmse000198
182,7407-59-2,C(=C(C(=O)O[H])[H])(C(=O)O[H])C([H])([H])[H],O=C(O)C=C(C(=O)O)C,,N/A,3.03,N/A,120.23,bmse000199
183,451-13-8,C1(=C(C(=C(C(=C1O[H])[H])C(C(O[H])=O)([H])[H])O[H])[H])[H],O=C(O)CC1=CC(O)=CC=C1O,,N/A,3.59,N/A,43,bmse000200
184,NOCAS_859033,C1(C(C(OC2(OC(C(C(C2(O[H])[H])(O[H])[H])(O[H])[H])(C(N([H])[H])([H])[H])[H])[H])(C(C(C1(N([H])[H])[H])([H])[H])(N([H])[H])[H])[H])(O[H])[H])(OC3(OC(C(C(C3(O[H])[H])(N([H])[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])[H])[H],,Structure can't be parsed,,,,,bmse000201
185,7365-45-9,S(C(C(N1C(C([N+](C(C1([H])[H])([H])[H])(C(C(O[H])([H])[H])([H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H])(=O)(=O)[O-],O=S(=O)(O)CCN1CCN(CCO)CC1,,N/A,1.85,N/A,3367.5,bmse000202
186,64-18-6,C(=O)(O[H])[H],O=CO,,N/A,N/A,N/A,N/A,bmse000203
187,C_KTVPXOYAKDPRHY-UHFFFAOYSA-N,P(OC(C1(C(C(C(O1)(O[H])[H])(O[H])[H])(O[H])[H])[H])([H])[H])(O[H])(O[H])=O,[H]OC1([H])OC([H])(C([H])([H])OP(=O)(O[H])O[H])C([H])(O[H])C1([H])O[H],,N/A,2.89,N/A,296.13,bmse000204
188,C_BRGMHAYQAZFZDJ-UHFFFAOYSA-N,C(C(=O)N(C1(C(C(C(OC1(O[H])[H])(C(OP(=O)(O[H])O[H])([H])[H])[H])(O[H])[H])(O[H])[H])[H])[H])([H])([H])[H],[H]OC1([H])OC([H])(C([H])([H])OP(=O)(O[H])O[H])C([H])(O[H])C([H])(O[H])C1([H])N([H])C(=O)C([H])([H])[H],,N/A,3,N/A,298.6,bmse000205
189,58-08-2,C(N1C(=NC2=C1C(N(C([H])([H])[H])C(N2C([H])([H])[H])=O)=O)[H])([H])([H])[H],O=C1C2=C(N=CN2C)N(C(=O)N1C)C,,N/A,2.59,N/A,502.29,bmse000206
190,61-54-1,C1(=C(C(=C2C(=C1[H])C(=C(N2[H])[H])C(C(N([H])[H])([H])[H])([H])[H])[H])[H])[H],NCCC1=CNC=2C=CC=CC21,,N/A,3.92,N/A,19.1,bmse000207
191,50-21-5,C(C(C([H])([H])[H])(O[H])[H])(=O)O[H],O=C(O)C(O)C,,N/A,1.73,N/A,1662.85,bmse000208
192,NOCAS_861910,C(=O)(N(C(C(C(C(C(=O)O[H])(N([H])[H])[H])([H])[H])([H])[H])([H])[H])[H])N([H])[H],O=C(N)NCCCC(N)C(=O)O,,N/A,2.11,N/A,1371.43,bmse000209
193,NOCAS_862988,C1(=NC2=C(N(C(N([H])[H])=NC2=O)[H])N1C3(C(C(C(C(OP(O[H])(=O)OP(O[H])(=O)OP(O[H])(O[H])=O)([H])[H])(O3)[H])(O[H])[H])([H])[H])[H])[H],,Structure can't be parsed,,,,,bmse000210
194,461-06-3,C(C(C(C([N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])([H])[H])(O[H])[H])([H])[H])([O-])=O,O=C([O-])CC(O)C[N+](C)(C)C,,N/A,N/A,N/A,N/A,bmse000211
195,6915-18-0,C(=C(C(O[H])=O)[H])(C(O[H])=O)[H],O=C(O)C=CC(=O)O,,4.37,2.79,5,187.87,bmse000212
196,1132639-46-3,C1(C(C(C(C(O1)([H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H],,Structure can't be parsed,,,,,bmse000213
197,C_AEMOLEFTQBMNLQ-UHFFFAOYSA-N,C1(C(C(C(C(O1)(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])=O)[H],[H]OC(=O)C1([H])OC([H])(O[H])C([H])(O[H])C([H])(O[H])C1([H])O[H],,N/A,1.63,N/A,4564.91,bmse000216
198,89-00-9,C1(=C(C(=C(C(O[H])=O)N=C1[H])C(O[H])=O)[H])[H],O=C(O)C1=NC=CC=C1C(=O)O,,N/A,3.36,N/A,72.54,bmse000219
199,103-82-2,[H]C1=C([H])C([H])=C(C([H])=C1[H])C([H])([H])C(=O)O[H],O=C(O)CC=1C=CC=CC1,,N/A,3.35,N/A,60.32,bmse000220
200,NOCAS_859429,C1(OC2(OC(C(OC3(OC(C(C(C3(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])[H])([H])[H])(C(C(C2(O[H])[H])(O[H])[H])(O[H])[H])[H])[H])(OC(C(C1(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])C(O[H])([H])[H],,Structure can't be parsed,,,,,bmse000221
201,302-84-1,C(C(O[H])=O)(C(O[H])([H])[H])(N([H])[H])[H],,Structure can't be parsed,,,,,bmse000222
202,100-02-7,C1(=C(C(=C(C(=C1[N+]([O-])=O)[H])[H])O[H])[H])[H],O=[N+]([O-])C1=CC=C(O)C=C1,,3.53,3.83,40.96,20.5,bmse000223
203,75-50-3,N(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],N(C)(C)C,,N/A,1.89,N/A,765.78,bmse000224
204,56-82-6,O=C(C(O[H])(C(O[H])([H])[H])[H])[H],,Structure can't be parsed,,,,,bmse000225
205,NOCAS_859284,C(C1=C(C2=C(C(=C1C([H])([H])[H])[H])N(C(C(C(C(C(OP(O[H])(=O)OP(O[H])(=O)OC(C3(C(C(C(N4C(=NC5=C(N([H])[H])N=C(N=C54)[H])[H])(O3)[H])(O[H])[H])(O[H])[H])[H])([H])[H])([H])[H])(O[H])[H])(O[H])[H])(O[H])[H])([H])[H])C=6C(C(N(C(N6)=O)[H])=O)=N2)[H])([H])([H])[H],,Structure can't be parsed,,,,,bmse000226
206,5652-41-5,C(=O)(O[H])C(C(C(C(C1(SC(C2(N(C(=O)N(C12[H])[H])[H])[H])([H])[H])[H])([H])[H])([H])[H])([H])[H])([H])[H],,Structure can't be parsed,,,,,bmse000227
207,C_AEMOLEFTQBMNLQ-UHFFFAOYSA-N,C1(C(C(C(C(C(O[H])=O)(O1)[H])(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H],[H]OC(=O)C1([H])OC([H])(O[H])C([H])(O[H])C([H])(O[H])C1([H])O[H],,N/A,1.63,N/A,4564.91,bmse000228
208,54910-68-8,C1(C(C(C(C(C(O[H])([H])[H])(O1)[H])(O[H])[H])(O[H])[H])(O[H])[H])=O,,Structure can't be parsed,,,,,bmse000230
209,NOCAS_859634,C1(C(C(C(C(C(O[H])([H])[H])(O1)[H])(O[H])[H])(O[H])[H])(N(C(C([H])([H])[H])=O)[H])[H])(O[H])[H],O=C(NC1C(O)OC(CO)C(O)C1O)C,,N/A,1.53,N/A,6479.37,bmse000231
210,NOCAS_864156,C1(C(OC(C(C1(O[H])[H])(O[H])[H])(OC2(C(OC(C(C2(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])[H])[H])(C(OC3(OC(C(C(C3(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])[H])([H])[H])[H])(OC4(OC(C(C(C4(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])[H])[H],OCC1OC(OCC2OC(OC3C(O)C(O)C(O)OC3CO)C(O)C(O)C2OC4OC(CO)C(O)C(O)C4O)C(O)C(O)C1O,,N/A,N/A,N/A,N/A,bmse000232
211,C_DLRVVLDZNNYCBX-UHFFFAOYSA-N,C1(OC(C(C(C1(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])(OC(C2(C(C(C(C(O2)(O[H])[H])(O[H])[H])(O[H])[H])(O[H])[H])[H])([H])[H])[H],[H]OC([H])([H])C1([H])OC([H])(OC([H])([H])C2([H])OC([H])(O[H])C([H])(O[H])C([H])(O[H])C2([H])O[H])C([H])(O[H])C([H])(O[H])C1([H])O[H],,N/A,2.2,N/A,2184.52,bmse000233
212,10366-82-2,C1(C(C(C(O1)=O)(O[H])[H])(O[H])[H])(C(C(O[H])([H])[H])(O[H])[H])[H],,Structure can't be parsed,,,,,bmse000235
213,302-72-7,N(C(C([H])([H])[H])(C(=O)O[H])[H])([H])[H],O=C(O)C(N)C,,N/A,2.29,N/A,453.92,bmse000236
214,535-75-1,C(C1(C(C(C(C(N1[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])(O[H])=O,O=C(O)C1NCCCC1,,N/A,2.52,N/A,393.15,bmse000237
215,6915-15-7,C(C(=O)O[H])(C(C(=O)O[H])(O[H])[H])([H])[H],O=C(O)CC(O)C(=O)O,,N/A,2.22,N/A,800.25,bmse000238
216,526-99-8,O=C(O[H])C(O[H])(C(O[H])(C(O[H])(C(O[H])(C(=O)O[H])[H])[H])[H])[H],O=C(O)C(O)C(O)C(O)C(O)C(=O)O,,N/A,1.86,N/A,2910.24,bmse000239
217,NOCAS_861971,C1(OC2(OC(C(OC3(OC(C(OC4(OC(C(C(C4(O[H])[H])(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])[H])([H])[H])(C(C(C3(O[H])[H])(O[H])[H])(O[H])[H])[H])[H])([H])[H])(C(C(C2(O[H])[H])(O[H])[H])(O[H])[H])[H])[H])(OC(C(C1(O[H])[H])(O[H])[H])(C(O[H])([H])[H])[H])C(O[H])([H])[H],OCC1OC(OCC2OC(OCC3OC(OC4(OC(CO)C(O)C4O)CO)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,,N/A,N/A,N/A,N/A,bmse000240
218,1118-68-9,O(C(=O)C(N(C([H])([H])[H])C([H])([H])[H])([H])[H])[H],O=C(O)CN(C)C,,N/A,2.1,N/A,810.04,bmse000241
219,107-36-8,C(C(S(O[H])(=O)=O)([H])[H])(O[H])([H])[H],O=S(=O)(O)CCO,,N/A,2.08,N/A,1038.1,bmse000242
220,51-67-2,C1(=C(C(=C(C(=C1C(C(N([H])[H])([H])[H])([H])[H])[H])[H])O[H])[H])[H],OC1=CC=C(C=C1)CCN,,N/A,3.8,N/A,21.78,bmse000243
